id,title,release_date,genres,original_language,vote_average,vote_count,popularity,production_companies,vote_category,new_budget
784500,Pretty Guardian Sailor Moon Eternal The Movie Part 2,2/11/2021,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",Japanese,8.1,132,18.117,"['Toei Animation', 'Toei Company', 'Studio Deen', 'Kodansha', 'Kinoshita Group', 'Bandai', 'The Asahi Shimbun', 'King Records']",good,12.82125828
50348,The Lincoln Lawyer,3/17/2011,"['Crime', 'Drama', 'Thriller']",English,7.2,2810,19.596,"['Sidney Kimmel Entertainment', 'Lionsgate', 'Lakeshore Entertainment']",good,17.50439001
557635,After Porn Ends 3,10/30/2018,['Documentary'],English,5.5,89,17.413,"['Karbonshark', 'WeBros Entertainment']",bad,13.12236338
785980,The Colors of Fire,11/9/2022,"['History', 'Drama']",French,7.2,84,17.168,['Gaumont'],good,12.82125828
153,Lost in Translation,9/18/2003,"['Drama', 'Romance', 'Comedy']",English,7.4,6499,17.243,"['American Zoetrope', 'Focus Features', 'Tohokushinsha Film Corporation', 'Elemental Films']",good,15.20180492
1273,TMNT,3/23/2007,"['Adventure', 'Animation', 'Comedy', 'Family']",English,6.1,955,20.344,"['Imagi Animation Studios', 'The Weinstein Company', 'Warner Bros. Pictures', 'Mirage Studios']",good,17.34187108
152,Star Trek: The Motion Picture,12/7/1979,"['Science Fiction', 'Adventure', 'Mystery']",English,6.5,1493,17.942,['Paramount'],good,17.37085862
621707,The Vigil,7/1/2020,"['Horror', 'Thriller', 'Mystery']",English,5.8,313,28.851,"['Angry Adam Productions', 'Blumhouse Productions', 'BoulderLight Pictures']",bad,12.82125828
9994,The Great Mouse Detective,7/2/1986,"['Animation', 'Family', 'Adventure', 'Mystery']",English,7.1,1447,16.591,"['Silver Screen Partners II', 'Walt Disney Pictures']",good,16.45456789
13939,Death Wish,7/24/1974,"['Crime', 'Drama', 'Action']",English,6.9,675,21.34,"['Landers-Roberts Productions', 'Dino De Laurentiis Company', 'Scimitar Films']",good,14.91412285
2655,What Lies Beneath,7/21/2000,"['Drama', 'Horror', 'Mystery', 'Thriller']",English,6.4,1587,16.341,"['ImageMovers', '20th Century Fox', 'DreamWorks Pictures']",good,18.42068074
499932,The Devil All the Time,9/11/2020,"['Crime', 'Drama', 'Thriller']",English,7.2,2920,18.208,"['Nine Stories Productions', 'BorderLine Films', 'Bronx Moving Co.']",good,12.82125828
555748,The Other Side of Heaven 2: Fire of Faith,6/28/2019,"['Drama', 'Adventure']",English,5.8,11,19.931,"['ArtAffects Entertainment', 'Two Roads Productions', 'BYUTV', 'Kolipoki Pictures']",bad,12.82125828
10982,Hoodwinked!,12/16/2005,"['Animation', 'Comedy', 'Family', 'Crime']",English,6.2,1571,18.341,"['Kanbar Entertainment', 'The Weinstein Company']",good,16.52356076
10823,Children of the Corn,3/9/1984,"['Horror', 'Thriller']",English,5.7,847,28.827,"['Planet Productions', 'Angeles Entertainment Group', 'Cinema Group', 'Hal Roach Studios', 'Gatlin', 'Inverness Productions']",bad,13.59236701
211755,Hunter x Hunter: Phantom Rouge,1/12/2013,"['Animation', 'Adventure', 'Fantasy', 'Action']",Japanese,7.1,160,19.593,['Madhouse'],good,12.82125828
337170,American Made,8/18/2017,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",English,6.9,3985,20.496,"['Vendian Entertainment', 'Imagine Entertainment', 'Cross Creek Pictures', 'Quadrant Pictures', 'dentsu', 'Gobierno de Colombia']",good,17.72753356
14365,Killing Me Softly,5/10/2002,['Thriller'],English,5.5,247,19.339,"['Noelle Entertainment Limited', 'The Montecito Picture Company']",bad,17.03438638
